City,State,2020 Max,2019 Max,2018 Max,2017 Max,2016 Max,2020 Mean,2019 Mean,2018 Mean,2017 Mean,2016 Mean
Salinas,California,1.6,35.0,3.5,2.7,4.2,0.189775,0.236831,0.293571,0.240895,0.322806
Arden-Arcade,California,2.511,1.652,3.902,1.938,2.459,0.238778,0.233875,0.292225,0.290801,0.267693
Anaheim,California,1.9,2.6,2.7,3.3,3.7,0.554959,0.58637,0.776223,0.852067,0.838545
Vallejo,California,2.5,2.0,2.8,3.1,2.1,0.332559,0.318499,0.366792,0.401759,0.379386
Sebastopol,California,1.8,1.4,1.4,2.1,1.6,0.324653,0.287354,0.366811,0.405828,0.358307
Modesto,California,2.949,1.861,2.761,2.078,1.971,0.240616,0.260625,0.290167,0.292525,0.277298
Chico,California,1.453,1.601,20.782,1.917,1.755,0.223901,0.227249,0.298391,0.253693,0.241438
West Los Angeles,California,2.0,1.9,1.6,2.0,2.2,0.307774,0.316957,0.337318,0.327496,0.312881
San Diego,California,3.3,4.1,1.9,2.0,2.0,0.498591,0.497548,0.528759,0.630502,0.576971
Compton,California,4.5,3.8,4.7,6.1,4.4,0.338558,0.422945,0.483327,0.533395,0.661393
Concord,California,3.0,3.3,1.9,1.7,1.2,0.415111,0.328097,0.303982,0.290965,0.27161
Redwood City,California,2.1,2.0,2.5,2.8,2.2,0.374528,0.375705,0.403465,0.400605,0.365815
Clovis,California,2.96,10.04,1.6,1.61,1.6,0.295409,0.282664,0.29688,0.332785,0.404658
Colorado Springs,Colorado,1.853,2.66,2.758,2.68,2.62,0.324609,0.351508,0.361622,0.345799,0.37717
Denver,Colorado,2.597,2.771,4.03,2.664,3.38,0.422382,0.492479,0.49611,0.492705,0.534266
Greeley,Colorado,1.48,1.28,1.46,1.45,1.8,0.205572,0.219462,0.223101,0.208442,0.236548
Fort Collins,Colorado,2.443,2.14,2.645,2.09,2.63,0.258397,0.29812,0.299233,0.291582,0.331086
Welby,Colorado,1.78,1.819,2.492,2.155,3.0,0.26778,0.292397,0.291386,0.288091,0.395718
